BRAF04,2023-06-05T20:00,0,50,80900,25.623916 84.089035,
BRAF04,2023-06-04T20:00,0,50,,25.623916 84.089036,
BRAF04,2023-06-03T20:00,0,50,,25.623916 84.089037,
BRAF04,2023-06-02T20:00,0,50,,25.623916 84.089038,
BRAF04,2023-06-01T20:00,0,50,,25.623916 84.089039,
BRAF04,2023-05-31T10:00,0,50,,25.623916 84.089040,
BRAF04,2023-05-30T09:00,0,50,,25.623916 84.089041,
BRAF04,2023-05-29T08:30,0,50,,25.623916 84.089042,
BRAF04,2023-05-27T08:30,0,50,,25.623916 84.089043,
BRAF04,2023-05-26T08:30,0,50,,25.623916 84.089044,
BRAF04,2023-05-25T08:30,0,50,,25.623916 84.089045,
BRAF04,2023-05-24T08:30,0,50,,25.623916 84.089046,
BRAF04,2023-05-23T08:30,0,50,,25.623916 84.089047,
BRAF04,2023-05-22T08:30,0,50,,25.623916 84.089048,
BRAF04,2023-05-20T08:30,0,50,,25.623916 84.089049,
BRAF04,2023-05-19T08:30,0,50,,25.623916 84.089050,
BRAF04,2023-05-18T08:30,0,50,,25.623916 84.089051,
BRAF04,2023-05-17T08:30,0,50,,25.623916 84.089052,
BRAF04,2023-05-16T10:00,0,50,,25.623916 84.089053,
BRAF04,2023-05-15T10:00,0,50,,25.623916 84.089054,
BRAF04,2023-05-14T10:00,0,50,,25.623916 84.089055,
BRAF04,2023-05-13T10:00,0,50,,25.623916 84.089056,
BRAF04,2023-05-12T10:00,0,50,,25.623916 84.089057,
BRAF04,2023-05-11T10:00,0,50,,25.623916 84.089058,
BRAF04,2023-05-10T10:00,0,50,,25.623916 84.089059,
BRAF04,2023-05-09T10:00,0,50,,25.623916 84.089060,
BRAF04,2023-05-08T10:00,0,50,,25.623916 84.089061,
BRAF04,2023-05-07T10:00,0,50,,25.623916 84.089062,
BRAF04,2023-05-06T10:00,0,50,,25.623916 84.089063,
BRAF04,2023-05-05T10:00,0,50,,25.623916 84.089064,
BRAF04,2023-05-04T10:00,0,50,,25.623916 84.089065,
BRAF04,2023-05-03T10:00,0,50,,25.623916 84.089066,
BRAF04,2023-05-02T10:00,0,50,,25.623916 84.089067,
BRAF04,2023-05-01T10:00,0,50,,25.623916 84.089068,
BRAF04,2023-04-26T10:00,0,50,,25.623916 84.089069,
BRAF04,2023-04-27T10:00,0,50,,25.623916 84.089070,
BRAF04,2023-04-29T10:00,0,50,,25.623916 84.089071,
BRAF04,2023-04-30T10:00,0,50,,25.623916 84.089072,
